id|name|country_id|created_at|updated_at
11|ACEH|104|2020-6-17 17:00:11|2020-6-17 17:00:11
12|SUMATERA UTARA|104|2020-6-17 17:00:11|2020-6-17 17:00:11
13|SUMATERA BARAT|104|2020-6-17 17:00:11|2020-6-17 17:00:11
14|RIAU|104|2020-6-17 17:00:11|2020-6-17 17:00:11
15|JAMBI|104|2020-6-17 17:00:11|2020-6-17 17:00:11
16|SUMATERA SELATAN|104|2020-6-17 17:00:11|2020-6-17 17:00:11
17|BENGKULU|104|2020-6-17 17:00:11|2020-6-17 17:00:11
18|LAMPUNG|104|2020-6-17 17:00:11|2020-6-17 17:00:11
19|KEPULAUAN BANGKA BELITUNG|104|2020-6-17 17:00:11|2020-6-17 17:00:11
21|KEPULAUAN RIAU|104|2020-6-17 17:00:11|2020-6-17 17:00:11
31|DKI JAKARTA|104|2020-6-17 17:00:11|2020-6-17 17:00:11
32|JAWA BARAT|104|2020-6-17 17:00:11|2020-6-17 17:00:11
33|JAWA TENGAH|104|2020-6-17 17:00:11|2020-6-17 17:00:11
34|DI YOGYAKARTA|104|2020-6-17 17:00:11|2020-6-17 17:00:11
35|JAWA TIMUR|104|2020-6-17 17:00:11|2020-6-17 17:00:11
36|BANTEN|104|2020-6-17 17:00:11|2020-6-17 17:00:11
51|BALI|104|2020-6-17 17:00:11|2020-6-17 17:00:11
52|NUSA TENGGARA BARAT|104|2020-6-17 17:00:11|2020-6-17 17:00:11
53|NUSA TENGGARA TIMUR|104|2020-6-17 17:00:11|2020-6-17 17:00:11
61|KALIMANTAN BARAT|104|2020-6-17 17:00:11|2020-6-17 17:00:11
62|KALIMANTAN TENGAH|104|2020-6-17 17:00:11|2020-6-17 17:00:11
63|KALIMANTAN SELATAN|104|2020-6-17 17:00:11|2020-6-17 17:00:11
64|KALIMANTAN TIMUR|104|2020-6-17 17:00:11|2020-6-17 17:00:11
65|KALIMANTAN UTARA|104|2020-6-17 17:00:11|2020-6-17 17:00:11
71|SULAWESI UTARA|104|2020-6-17 17:00:11|2020-6-17 17:00:11
72|SULAWESI TENGAH|104|2020-6-17 17:00:11|2020-6-17 17:00:11
73|SULAWESI SELATAN|104|2020-6-17 17:00:11|2020-6-17 17:00:11
74|SULAWESI TENGGARA|104|2020-6-17 17:00:11|2020-6-17 17:00:11
75|GORONTALO|104|2020-6-17 17:00:11|2020-6-17 17:00:11
76|SULAWESI BARAT|104|2020-6-17 17:00:11|2020-6-17 17:00:11
81|MALUKU|104|2020-6-17 17:00:11|2020-6-17 17:00:11
82|MALUKU UTARA|104|2020-6-17 17:00:11|2020-6-17 17:00:11
91|PAPUA BARAT|104|2020-6-17 17:00:11|2020-6-17 17:00:11
94|PAPUA|104|2020-6-17 17:00:11|2020-6-17 17:00:11
